N_base = 5000
N = 16000
f_CG = 25
N_base_CG = 200
N_CG = 640


N_leaves = 4
mll,1,200
mlr,201,340
mrl,341,540
mrr,541,640

ID, base-ID, min, max
343,3,8551,8575
344,4,8576,8600
345,5,8601,8625
346,6,8626,8650
347,7,8651,8675
348,8,8676,8700
349,9,8701,8725
350,10,8726,8750
351,11,8751,8775
352,12,8776,8800
353,13,8801,8825
354,14,8826,8850
355,15,8851,8875
356,16,8876,8900
357,17,8901,8925
358,18,8926,8950
359,19,8951,8975
360,20,8976,9000
361,21,9001,9025
362,22,9026,9050
363,23,9051,9075
364,24,9076,9100
365,25,9101,9125
366,26,9126,9150
367,27,9151,9175
368,28,9176,9200
369,29,9201,9225
370,30,9226,9250
371,31,9251,9275
372,32,9276,9300
373,33,9301,9325
374,34,9326,9350
375,35,9351,9375
376,36,9376,9400
377,37,9401,9425
378,38,9426,9450
379,39,9451,9475
380,40,9476,9500
381,41,9501,9525
382,42,9526,9550
383,43,9551,9575
384,44,9576,9600
385,45,9601,9625
386,46,9626,9650
387,47,9651,9675
388,48,9676,9700
389,49,9701,9725
390,50,9726,9750
391,51,9751,9775
392,52,9776,9800
393,53,9801,9825
394,54,9826,9850
395,55,9851,9875
396,56,9876,9900
397,57,9901,9925
398,58,9926,9950
399,59,9951,9975
400,60,9976,10000
401,61,10001,10025
402,62,10026,10050
403,63,10051,10075
404,64,10076,10100
405,65,10101,10125
406,66,10126,10150
407,67,10151,10175
408,68,10176,10200
409,69,10201,10225
410,70,10226,10250
411,71,10251,10275
412,72,10276,10300
413,73,10301,10325
414,74,10326,10350
415,75,10351,10375
416,76,10376,10400
417,77,10401,10425
418,78,10426,10450
419,79,10451,10475
420,80,10476,10500
421,81,10501,10525
422,82,10526,10550
423,83,10551,10575
424,84,10576,10600
425,85,10601,10625
426,86,10626,10650
427,87,10651,10675
428,88,10676,10700
429,89,10701,10725
430,90,10726,10750
431,91,10751,10775
432,92,10776,10800
433,93,10801,10825
434,94,10826,10850
435,95,10851,10875
436,96,10876,10900
437,97,10901,10925
438,98,10926,10950
439,99,10951,10975
440,100,10976,11000
441,101,11001,11025
442,102,11026,11050
443,103,11051,11075
444,104,11076,11100
445,105,11101,11125
446,106,11126,11150
447,107,11151,11175
448,108,11176,11200
449,109,11201,11225
450,110,11226,11250
451,111,11251,11275
452,112,11276,11300
453,113,11301,11325
454,114,11326,11350
455,115,11351,11375
456,116,11376,11400
457,117,11401,11425
458,118,11426,11450
459,119,11451,11475
460,120,11476,11500
461,121,11501,11525
462,122,11526,11550
463,123,11551,11575
464,124,11576,11600
465,125,11601,11625
466,126,11626,11650
467,127,11651,11675
468,128,11676,11700
469,129,11701,11725
470,130,11726,11750
471,131,11751,11775
472,132,11776,11800
473,133,11801,11825
474,134,11826,11850
475,135,11851,11875
476,136,11876,11900
477,137,11901,11925
478,138,11926,11950
479,139,11951,11975
480,140,11976,12000
481,141,12001,12025
482,142,12026,12050
483,143,12051,12075
484,144,12076,12100
485,145,12101,12125
486,146,12126,12150
487,147,12151,12175
488,148,12176,12200
489,149,12201,12225
490,150,12226,12250
491,151,12251,12275
492,152,12276,12300
493,153,12301,12325
494,154,12326,12350
495,155,12351,12375
496,156,12376,12400
497,157,12401,12425
498,158,12426,12450
499,159,12451,12475
500,160,12476,12500
501,161,12501,12525
502,162,12526,12550
503,163,12551,12575
504,164,12576,12600
505,165,12601,12625
506,166,12626,12650
507,167,12651,12675
508,168,12676,12700
509,169,12701,12725
510,170,12726,12750
511,171,12751,12775
512,172,12776,12800
513,173,12801,12825
514,174,12826,12850
515,175,12851,12875
516,176,12876,12900
517,177,12901,12925
518,178,12926,12950
519,179,12951,12975
520,180,12976,13000
521,181,13001,13025
522,182,13026,13050
523,183,13051,13075
524,184,13076,13100
525,185,13101,13125
526,186,13126,13150
527,187,13151,13175
528,188,13176,13200
529,189,13201,13225
530,190,13226,13250
531,191,13251,13275
532,192,13276,13300
533,193,13301,13325
534,194,13326,13350
535,195,13351,13375
536,196,13376,13400
537,197,13401,13425
538,198,13426,13450
539,199,13451,13475
540,200,13476,13500
541,51,13501,13525
542,52,13526,13550
543,53,13551,13575
544,54,13576,13600
545,55,13601,13625
546,56,13626,13650
547,57,13651,13675
548,58,13676,13700
549,59,13701,13725
550,60,13726,13750
551,61,13751,13775
552,62,13776,13800
553,63,13801,13825
554,64,13826,13850
555,65,13851,13875
556,66,13876,13900
557,67,13901,13925
558,68,13926,13950
559,69,13951,13975
560,70,13976,14000
561,71,14001,14025
562,72,14026,14050
563,73,14051,14075
564,74,14076,14100
565,75,14101,14125
566,76,14126,14150
567,77,14151,14175
568,78,14176,14200
569,79,14201,14225
570,80,14226,14250
571,81,14251,14275
572,82,14276,14300
573,83,14301,14325
574,84,14326,14350
575,85,14351,14375
576,86,14376,14400
577,87,14401,14425
578,88,14426,14450
579,89,14451,14475
580,90,14476,14500
581,91,14501,14525
582,92,14526,14550
583,93,14551,14575
584,94,14576,14600
585,95,14601,14625
586,96,14626,14650
587,97,14651,14675
588,98,14676,14700
589,99,14701,14725
590,100,14726,14750
591,101,14751,14775
592,102,14776,14800
593,103,14801,14825
594,104,14826,14850
595,105,14851,14875
596,106,14876,14900
597,107,14901,14925
598,108,14926,14950
599,109,14951,14975
600,110,14976,15000
601,111,15001,15025
602,112,15026,15050
603,113,15051,15075
604,114,15076,15100
605,115,15101,15125
606,116,15126,15150
607,117,15151,15175
608,118,15176,15200
609,119,15201,15225
610,120,15226,15250
611,121,15251,15275
612,122,15276,15300
613,123,15301,15325
614,124,15326,15350
615,125,15351,15375
616,126,15376,15400
617,127,15401,15425
618,128,15426,15450
619,129,15451,15475
620,130,15476,15500
621,131,15501,15525
622,132,15526,15550
623,133,15551,15575
624,134,15576,15600
625,135,15601,15625
626,136,15626,15650
627,137,15651,15675
628,138,15676,15700
629,139,15701,15725
630,140,15726,15750
631,141,15751,15775
632,142,15776,15800
633,143,15801,15825
634,144,15826,15850
635,145,15851,15875
636,146,15876,15900
637,147,15901,15925
638,148,15926,15950
639,149,15951,15975
640,150,15976,16000
